Term,ECSS Standards,Branches
HITL,['ECSS_E_ST_10CRev1'],['E']
ICD,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_09C', 'ECSS_E_ST_31C', 'ECSS_E_ST_34C', 'ECSS_E_ST_40C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_70C', 'ECSS_E_ST_10_24C', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_20_07CRev2', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_10C', 'ECSS_E_ST_20C', 'ECSS_E_ST_10_03C', 'ECSS_E_ST_20_07CRev1', 'ECSS_E_ST_20CRev1']","['E', 'M', 'Q', '']"
ILS,"['ECSS_E_ST_10CRev1', 'ECSS_M_ST_10CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_10C']","['E', 'M', '']"
IRD,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_40C', 'ECSS_E_ST_10_24C', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C', 'ECSS_E_ST_10C']","['E', 'Q', '']"
LRR,"['ECSS_E_ST_10CRev1', 'ECSS_M_ST_10CRev1', 'ECSS_Q_ST_40CRev1', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_Q_ST_40C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C']","['E', 'M', 'Q', '', 'U']"
MCR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_70C', 'ECSS_M_ST_10CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_10C']","['E', 'M', '']"
MDD,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_06C', 'ECSS_E_ST_70C', 'ECSS_E_ST_33_01CRev2', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_10C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_33_01CRev1']","['E', '']"
MDR,"['ECSS_E_ST_10CRev1', 'ECSS_M_ST_10CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_10C']","['E', 'M', '']"
MOP,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_70C', 'ECSS_E_ST_10C']",['E']
MS,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_50_52C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_35_06CRev2', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_70_29C', 'ECSS_E_ST_10C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_35_06CRev1']","['E', 'M', 'Q']"
