Term,ECSS Standards,Branches
UV,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70_04C', 'ECSS_Q_ST_70_06C', 'ECSS_Q_ST_70_53C', 'ECSS_Q_ST_70_50C', 'ECSS_Q_ST_70_14C', 'ECSS_Q_ST_70_17C', 'ECSS_Q_ST_70_05CRev1', 'ECSS_Q_ST_70_15C', 'ECSS_Q_ST_70_16C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70_05C', 'ECSS_E_ST_32_08C', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
VLSI,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_14CRev1Corr1', 'ECSS_Q_ST_60_14C']","['E', 'Q']"
WCA,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_30CRev1', 'ECSS_Q_ST_30C', 'ECSS_E_ST_20CRev1']","['E', 'Q']"
XMM,['ECSS_E_ST_10_12C'],['E']
ABM,"['ECSS_E_ST_31C', 'ECSS_E_ST_70C', 'ECSS_S_ST_00_01C']","['E', '']"
CCS,"['ECSS_E_ST_31C', 'ECSS_M_ST_60C']","['E', 'M']"
CMC,"['ECSS_E_ST_31C', 'ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32_08C']",['E']
DRL,"['ECSS_E_ST_31C', 'ECSS_E_ST_20CRev2', 'ECSS_M_ST_10CRev1', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_30CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'M', 'Q', '']"
ECLS,"['ECSS_E_ST_31C', 'ECSS_E_ST_32CRev1', 'ECSS_Q_ST_70_01C', 'ECSS_S_ST_00_01C']","['E', 'Q', '']"
EMC,"['ECSS_E_ST_31C', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_34C', 'ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_50_15C', 'ECSS_E_ST_20_20C', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_50_16C', 'ECSS_E_ST_50CRev1', 'ECSS_E_ST_20_07CRev2', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_70_12C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_30_11CRev1', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_33_11C', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_50_12C', 'ECSS_E_ST_20C', 'ECSS_E_ST_50C', 'ECSS_E_ST_10_03C', 'ECSS_E_ST_20_07CRev1', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
FAR,"['ECSS_E_ST_31C', 'ECSS_U_ST_20C']","['E', 'U']"
FEM,"['ECSS_E_ST_31C', 'ECSS_E_ST_32_11C']",['E']
FOV,"['ECSS_E_ST_31C', 'ECSS_E_ST_34C', 'ECSS_E_ST_60_20CRev2', 'ECSS_E_ST_60_20CRev1']",['E']
GMM,"['ECSS_E_ST_31C', 'ECSS_E_ST_31_04C']",['E']
H/W,"['ECSS_E_ST_31C', 'ECSS_E_ST_32_11C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_50_16C', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_70_14C', 'ECSS_E_ST_10_02C']","['E', 'M', 'Q']"
HS,['ECSS_E_ST_31C'],['E']
I/F,"['ECSS_E_ST_31C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_70C', 'ECSS_E_ST_33_01CRev2', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_33_01CRev1']","['E', '']"
LHP,"['ECSS_E_ST_31C', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_31_02C']",['E']
LPM,['ECSS_E_ST_31C'],['E']
MLI,"['ECSS_E_ST_31C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_33_01CRev2', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70_16C', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_33_01CRev1']","['E', 'Q', '']"
OBDH,"['ECSS_E_ST_31C', 'ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_50_14C', 'ECSS_E_ST_70C', 'ECSS_S_ST_00_01C']","['E', '']"
PA,"['ECSS_E_ST_31C', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_60_05CRev1', 'ECSS_Q_ST_10CRev1', 'ECSS_Q_ST_30CRev1', 'ECSS_Q_ST_10_09CRev1', 'ECSS_Q_ST_70CRev2', 'ECSS_Q_ST_70_16C', 'ECSS_Q_ST_60CRev3', 'ECSS_S_ST_00_01C', 'ECSS_S_ST_00CRev1', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_10C', 'ECSS_Q_ST_30C', 'ECSS_Q_ST_10_09C', 'ECSS_Q_ST_20CRev1', 'ECSS_Q_ST_70CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_S_ST_00C']","['E', 'M', 'Q', '']"
PCM,"['ECSS_E_ST_31C', 'ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_20_07CRev2', 'ECSS_Q_ST_60_12C', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_20_07CRev1']","['E', 'Q']"
QA,"['ECSS_E_ST_31C', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_70_30C', 'ECSS_Q_ST_20_08C', 'ECSS_Q_ST_10CRev1', 'ECSS_Q_ST_70_26CRev1Corr1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_10_09CRev1', 'ECSS_Q_ST_70_17C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_10C', 'ECSS_Q_ST_70_26C', 'ECSS_Q_ST_10_09C', 'ECSS_Q_ST_20CRev1', 'ECSS_E_ST_10_02C']","['E', 'Q', '']"
QM,"['ECSS_E_ST_31C', 'ECSS_E_ST_34C', 'ECSS_E_ST_10_03CRev1', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_20CRev1', 'ECSS_E_ST_10_03C']","['E', 'Q', '']"
RLV,['ECSS_E_ST_31C'],['E']
RV,['ECSS_E_ST_31C'],['E']
S/C,"['ECSS_E_ST_31C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_32_10CRev2Corr1', 'ECSS_E_ST_33_01CRev2', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_32_10CRev1', 'ECSS_E_ST_32_10CRev2']","['E', '']"
S/W,"['ECSS_E_ST_31C', 'ECSS_E_ST_32_11C', 'ECSS_E_ST_60_30C', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_30_02C', 'ECSS_E_ST_10_02C']","['E', 'M', 'Q']"
STM,"['ECSS_E_ST_31C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_60_20CRev2', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_60_20CRev1']","['E', '']"
TBT,['ECSS_E_ST_31C'],['E']
TC,"['ECSS_E_ST_31C', 'ECSS_E_ST_50_02C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_10_03CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_50_04C', 'ECSS_E_ST_10_03C']","['E', '']"
TCS,"['ECSS_E_ST_31C', 'ECSS_E_ST_34C', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_10_03CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_31_02C', 'ECSS_E_ST_10_03C']","['E', '']"
TM,"['ECSS_E_ST_31C', 'ECSS_E_ST_50_02C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_60_21C', 'ECSS_E_ST_10_03CRev1', 'ECSS_S_ST_00_01C', 'ECSS_S_ST_00CRev1', 'ECSS_E_ST_50_03C', 'ECSS_E_ST_10_03C', 'ECSS_S_ST_00C']","['E', '']"
TM/TC,"['ECSS_E_ST_31C', 'ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_50_13C', 'ECSS_S_ST_00_01C']","['E', '']"
TMM,"['ECSS_E_ST_31C', 'ECSS_E_ST_31_04C']",['E']
TPS,['ECSS_E_ST_31C'],['E']
TRP,"['ECSS_E_ST_31C', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_10_03C']",['E']
TV-Test,['ECSS_E_ST_31C'],['E']
VCHP,"['ECSS_E_ST_31C', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_31_02C']",['E']
BAI,['ECSS_E_ST_32_02CRev1'],['E']
COPC,['ECSS_E_ST_32_02CRev1'],['E']
COPS,['ECSS_E_ST_32_02CRev1'],['E']
COSPE,['ECSS_E_ST_32_02CRev1'],['E']
COPV,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_32_01CRev1']",['E']
CPS,['ECSS_E_ST_32_02CRev1'],['E']
CPV,['ECSS_E_ST_32_02CRev1'],['E']
DLL,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_32_10CRev2Corr1', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_50_16C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_32_10CRev1', 'ECSS_E_ST_32_10CRev2']",['E']
DUL,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_32_10CRev2Corr1', 'ECSS_E_ST_32_10CRev1', 'ECSS_E_ST_32_10CRev2']",['E']
DYL,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_32_10CRev2Corr1', 'ECSS_E_ST_32_10CRev1', 'ECSS_E_ST_32_10CRev2']",['E']
FCI,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_32_01CRev1']",['E']
FLLI,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_32_01CRev1']",['E']
FOS,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_32_10CRev2Corr1', 'ECSS_E_ST_33_01CRev2', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_32_10CRev1', 'ECSS_E_ST_32_10CRev2']","['E', '']"
LBB,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_Q_ST_70_80C', 'ECSS_E_ST_31_02C', 'ECSS_E_ST_32_01CRev1']","['E', 'Q']"
MDP,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_10_03CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_31_02C', 'ECSS_E_ST_32_01CRev1', 'ECSS_E_ST_10_03C']","['E', '']"
MEOP,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_33_11C', 'ECSS_E_ST_32_01CRev1']","['E', '']"
MPC,['ECSS_E_ST_32_02CRev1'],['E']
MPS,['ECSS_E_ST_32_02CRev1'],['E']
MPV,['ECSS_E_ST_32_02CRev1'],['E']
MSPE,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_31_02C']",['E']
NDI,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_31_02CRev1', 'ECSS_Q_ST_70_45C', 'ECSS_Q_ST_70_39C', 'ECSS_Q_ST_70_71CRev1', 'ECSS_Q_ST_70_16C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70_71C', 'ECSS_E_ST_32_08C', 'ECSS_E_ST_31_02C', 'ECSS_E_ST_32_01CRev1']","['E', 'Q', '']"
PFCI,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_Q_ST_70_15C', 'ECSS_E_ST_32_01CRev1']","['E', 'Q']"
PC,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_70_31C']",['E']
PH,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_31_02C']",['E']
PV,['ECSS_E_ST_32_02CRev1'],['E']
PS,['ECSS_E_ST_32_02CRev1'],['E']
VDT,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_Q_ST_70_15C', 'ECSS_E_ST_32_01CRev1']","['E', 'Q']"
DOF,"['ECSS_E_ST_32_03C', 'ECSS_E_ST_32_11C', 'ECSS_E_ST_32CRev1']",['E']
FE,"['ECSS_E_ST_32_03C', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_32_01CRev1']",['E']
OTM,"['ECSS_E_ST_32_03C', 'ECSS_E_ST_32CRev1']",['E']
ASTM,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_Q_ST_70_37C', 'ECSS_Q_ST_70_45C', 'ECSS_Q_ST_70_46CRev1', 'ECSS_Q_ST_70_55C', 'ECSS_Q_ST_70_14C', 'ECSS_Q_ST_70_05CRev1', 'ECSS_Q_ST_70_15C', 'ECSS_Q_ST_70_80C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70_05C', 'ECSS_E_ST_32_08C', 'ECSS_E_ST_10_04C', 'ECSS_E_ST_32_01CRev1']","['E', 'Q', '']"
CFRP,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_20_01C', 'ECSS_Q_ST_70CRev2', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_70CRev1', 'ECSS_E_ST_32_08C']","['E', 'Q']"
CME,"['ECSS_E_ST_32_08CRev1', 'ECSS_Q_ST_70_16C', 'ECSS_E_ST_32_08C']","['E', 'Q']"
EB,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32_08C']",['E']
EN,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_Q_ST_70_14C', 'ECSS_Q_ST_70_15C', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_32_08C', 'ECSS_E_ST_32_01CRev1']","['E', 'Q', '']"
Kic,['ECSS_E_ST_32_08CRev1'],['E']
Kiscc,['ECSS_E_ST_32_08CRev1'],['E']
MIG,"['ECSS_E_ST_32_08CRev1', 'ECSS_Q_ST_70_39C', 'ECSS_E_ST_32_08C']","['E', 'Q']"
MMC,"['ECSS_E_ST_32_08CRev1', 'ECSS_Q_ST_70_15C', 'ECSS_E_ST_32_08C']","['E', 'Q']"
NDE,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32_08C']",['E']
NDT,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_Q_ST_70_39C', 'ECSS_Q_ST_70_15C', 'ECSS_Q_ST_70_80C', 'ECSS_Q_ST_70_40C', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_32_08C']","['E', 'Q', '']"
PTFE,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_Q_ST_70_02C', 'ECSS_Q_ST_70_18C', 'ECSS_Q_ST_70_28C', 'ECSS_Q_ST_70_30C', 'ECSS_Q_ST_70_53C', 'ECSS_Q_ST_70_12C', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_70_05CRev1', 'ECSS_Q_ST_70_71CRev1', 'ECSS_Q_ST_70_61C', 'ECSS_Q_ST_70_10C', 'ECSS_Q_ST_70_11C', 'ECSS_Q_ST_70_05C', 'ECSS_Q_ST_70_71C', 'ECSS_Q_ST_70_08C', 'ECSS_E_ST_32_08C', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_50_12C']","['E', 'Q']"
SCC,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_Q_ST_70_36C', 'ECSS_Q_ST_70_37C', 'ECSS_Q_ST_70_14C', 'ECSS_Q_ST_10_09CRev1', 'ECSS_Q_ST_70_71CRev1', 'ECSS_Q_ST_70CRev2', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_10_09C', 'ECSS_Q_ST_70CRev1', 'ECSS_Q_ST_70_71C', 'ECSS_E_ST_32_08C', 'ECSS_E_ST_32_01CRev1']","['E', 'Q', '']"
STS,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_60_20CRev2', 'ECSS_E_ST_32_08C', 'ECSS_E_ST_60_20CRev1', 'ECSS_E_ST_32_01CRev1']",['E']
TIG,"['ECSS_E_ST_32_08CRev1', 'ECSS_Q_ST_70_39C', 'ECSS_Q_ST_70_15C', 'ECSS_E_ST_32_08C']","['E', 'Q']"
UD,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32_08C']",['E']
AOC,['ECSS_E_ST_32_11C'],['E']
ARMA,['ECSS_E_ST_32_11C'],['E']
CMIF,['ECSS_E_ST_32_11C'],['E']
COC,"['ECSS_E_ST_32_11C', 'ECSS_Q_ST_60_05CRev1']","['E', 'Q']"
CoG,"['ECSS_E_ST_32_11C', 'ECSS_E_ST_10_03CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_10_03C']","['E', '']"
CoMAC,['ECSS_E_ST_32_11C'],['E']
DAS,['ECSS_E_ST_32_11C'],['E']
EI,"['ECSS_E_ST_32_11C', 'ECSS_Q_ST_70_29C']","['E', 'Q']"
FEA,"['ECSS_E_ST_32_11C', 'ECSS_E_ST_32CRev1']",['E']
FRAC,['ECSS_E_ST_32_11C'],['E']
FRF,['ECSS_E_ST_32_11C'],['E']
IRS,['ECSS_E_ST_32_11C'],['E']
KE,['ECSS_E_ST_32_11C'],['E']
MAC,"['ECSS_E_ST_32_11C', 'ECSS_E_ST_50_16C']",['E']
MCF,['ECSS_E_ST_32_11C'],['E']
MDOF,['ECSS_E_ST_32_11C'],['E']
MIF,['ECSS_E_ST_32_11C'],['E']
MMIF,['ECSS_E_ST_32_11C'],['E']
MIMO,"['ECSS_E_ST_32_11C', 'ECSS_E_ST_60_10C']",['E']
MST,['ECSS_E_ST_32_11C'],['E']
MPP,"['ECSS_E_ST_32_11C', 'ECSS_M_ST_60C']","['E', 'M']"
POC,['ECSS_E_ST_32_11C'],['E']
RMS,"['ECSS_E_ST_32_11C', 'ECSS_E_ST_60_10C']",['E']
RVAC,['ECSS_E_ST_32_11C'],['E']
SDOF,['ECSS_E_ST_32_11C'],['E']
SEREP,['ECSS_E_ST_32_11C'],['E']
SISO,"['ECSS_E_ST_32_11C', 'ECSS_E_ST_60_10C']",['E']
TAM,['ECSS_E_ST_32_11C'],['E']
TBD,"['ECSS_E_ST_32_11C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_20_08CRev1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_70_10C', 'ECSS_Q_ST_70_11C', 'ECSS_E_ST_20_08C']","['E', 'Q']"
TF,['ECSS_E_ST_32_11C'],['E']
BIT,['ECSS_E_ST_32CRev1'],['E']
CAE,"['ECSS_E_ST_32CRev1', 'ECSS_Q_ST_70_12C']","['E', 'Q']"
CAM,"['ECSS_E_ST_32CRev1', 'ECSS_Q_ST_70_10C', 'ECSS_E_ST_50_12C']","['E', 'Q']"
COG,"['ECSS_E_ST_32CRev1', 'ECSS_E_ST_35_02C', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_33_01CRev1']",['E']
DL,['ECSS_E_ST_32CRev1'],['E']
FOSU,"['ECSS_E_ST_32CRev1', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_32_10CRev2Corr1', 'ECSS_E_ST_33_11C', 'ECSS_E_ST_32_10CRev1', 'ECSS_E_ST_32_10CRev2']",['E']
FOSY,"['ECSS_E_ST_32CRev1', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_32_10CRev2Corr1', 'ECSS_E_ST_33_11C', 'ECSS_E_ST_32_10CRev1', 'ECSS_E_ST_32_10CRev2']",['E']
FSI,['ECSS_E_ST_32CRev1'],['E']
LCDA,"['ECSS_E_ST_32CRev1', 'ECSS_E_ST_32_10CRev2Corr1', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_32_10CRev1', 'ECSS_E_ST_32_10CRev2', 'ECSS_E_ST_10_03C']",['E']
LL,"['ECSS_E_ST_32CRev1', 'ECSS_E_ST_32_10CRev2Corr1', 'ECSS_E_ST_32_10CRev1', 'ECSS_E_ST_32_10CRev2']",['E']
PFO,"['ECSS_E_ST_32CRev1', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70_50C']","['E', 'Q']"
POGO,['ECSS_E_ST_32CRev1'],['E']
r.m.s.,"['ECSS_E_ST_32CRev1', 'ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_20_07CRev2', 'ECSS_E_ST_10_03CRev1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_70_61C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70_10C', 'ECSS_Q_ST_70_11C', 'ECSS_Q_ST_70_38C', 'ECSS_Q_ST_70_08C', 'ECSS_Q_ST_70_38CRev1Corr1', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_10_04C', 'ECSS_E_ST_10_03C', 'ECSS_E_ST_20_07CRev1']","['E', 'Q', '']"
CFU,"['ECSS_E_ST_34C', 'ECSS_Q_ST_70_58C']","['E', 'Q']"
DCI,['ECSS_E_ST_34C'],['E']
ECSL,['ECSS_E_ST_34C'],['E']
ECLSS,['ECSS_E_ST_34C'],['E']
EMU,['ECSS_E_ST_34C'],['E']
IVA,['ECSS_E_ST_34C'],['E']
multi-g,['ECSS_E_ST_34C'],['E']
SMAC,"['ECSS_E_ST_34C', 'ECSS_Q_ST_70_29C']","['E', 'Q']"
COM,"['ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1']",['E']
DLAT,"['ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1']",['E']
EMI,"['ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_20_07CRev2', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_20_10C', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_33_11C', 'ECSS_E_ST_50_12C', 'ECSS_E_ST_20C', 'ECSS_E_ST_20_07CRev1', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
HCl,['ECSS_E_ST_35_02C'],['E']
MCI,"['ECSS_E_ST_35_02C', 'ECSS_E_ST_60_30C']",['E']
SRM,"['ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1']",['E']
TBPM,"['ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_33_11C']",['E']
TBPU,"['ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_33_11CRev1']",['E']
TVC,"['ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_Q_ST_70_16C']","['E', 'Q']"
LPS,['ECSS_E_ST_35_03C'],['E']
CAAR,['ECSS_E_ST_35_10C'],['E']
CPE,['ECSS_E_ST_35_10C'],['E']
CTLP,['ECSS_E_ST_35_10C'],['E']
DSC,"['ECSS_E_ST_35_10C', 'ECSS_E_ST_33_11CRev1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_70_16C', 'ECSS_E_ST_33_11C']","['E', 'Q']"
EPDM,['ECSS_E_ST_35_10C'],['E']
EPR,['ECSS_E_ST_35_10C'],['E']
GOx,['ECSS_E_ST_35_10C'],['E']
LOx,"['ECSS_E_ST_35_10C', 'ECSS_E_ST_35CRev1']",['E']
MMH,"['ECSS_E_ST_35_10C', 'ECSS_E_ST_35CRev1']",['E']
MON,"['ECSS_E_ST_35_10C', 'ECSS_E_ST_35CRev1']",['E']
NVR,"['ECSS_E_ST_35_10C', 'ECSS_E_ST_35_06CRev2', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70_05CRev1', 'ECSS_Q_ST_70_05C', 'ECSS_E_ST_35_06CRev1']","['E', 'Q']"
PVC,"['ECSS_E_ST_35_10C', 'ECSS_Q_ST_70_37C', 'ECSS_Q_ST_70_46CRev1']","['E', 'Q']"
SEM,"['ECSS_E_ST_35_10C', 'ECSS_Q_ST_60_05CRev1', 'ECSS_Q_ST_60_12C', 'ECSS_Q_ST_70_80C', 'ECSS_Q_ST_70_61C', 'ECSS_Q_ST_60_13C']","['E', 'Q']"
SS,"['ECSS_E_ST_35_10C', 'ECSS_E_ST_50_04C']",['E']
